TYPE_INTER,MACHINE,KEY,MARQUE,METROPOLE,Type_tarif,Montant,PROD
CURATIVE J+1,FONTAINE A EAU,CURATIVE J+1_FONTAINE A EAU,BRITA,0,Tarif normal,210,1
CURATIVE J+1,FONTAINE A EAU,CURATIVE J+1_FONTAINE A EAU,BRITA,1,Remise niv1,144,1
CURATIVE J+1,FONTAINE A EAU,CURATIVE J+1_FONTAINE A EAU,BRITA,1,Remise niv2,116,1
CURATIVE J+1,FONTAINE A EAU,CURATIVE J+1_FONTAINE A EAU,BRITA,1,Tarif normal,180,1
CURATIVE J+2,FONTAINE A EAU,CURATIVE J+2_FONTAINE A EAU,BRITA,0,Remise niv1,144,1
CURATIVE J+2,FONTAINE A EAU,CURATIVE J+2_FONTAINE A EAU,BRITA,0,Remise niv2,117,1
CURATIVE J+2,FONTAINE A EAU,CURATIVE J+2_FONTAINE A EAU,BRITA,0,Tarif normal,180,1
CURATIVE J+2,FONTAINE A EAU,CURATIVE J+2_FONTAINE A EAU,BRITA,1,Remise niv1,120,1
CURATIVE J+2,FONTAINE A EAU,CURATIVE J+2_FONTAINE A EAU,BRITA,1,Remise niv2,96,1
CURATIVE J+2,FONTAINE A EAU,CURATIVE J+2_FONTAINE A EAU,BRITA,1,Tarif normal,150,1
DEMENAGEMENT,FONTAINE A EAU,DEMENAGEMENT_FONTAINE A EAU,BRITA,0,Remise niv1,264,1
DEMENAGEMENT,FONTAINE A EAU,DEMENAGEMENT_FONTAINE A EAU,BRITA,0,Remise niv2,215,1
DEMENAGEMENT,FONTAINE A EAU,DEMENAGEMENT_FONTAINE A EAU,BRITA,0,Tarif normal,330,1
DEMENAGEMENT,FONTAINE A EAU,DEMENAGEMENT_FONTAINE A EAU,BRITA,1,Remise niv1,240,1
DEMENAGEMENT,FONTAINE A EAU,DEMENAGEMENT_FONTAINE A EAU,BRITA,1,Remise niv2,154,1
DEMENAGEMENT,FONTAINE A EAU,DEMENAGEMENT_FONTAINE A EAU,BRITA,1,Tarif normal,300,1
DESINSTALLATION,FONTAINE A EAU,DESINSTALLATION_FONTAINE A EAU,BRITA,0,Remise niv1,144,1
DESINSTALLATION,FONTAINE A EAU,DESINSTALLATION_FONTAINE A EAU,BRITA,0,Remise niv2,117,1
DESINSTALLATION,FONTAINE A EAU,DESINSTALLATION_FONTAINE A EAU,BRITA,0,Tarif normal,180,1
DESINSTALLATION,FONTAINE A EAU,DESINSTALLATION_FONTAINE A EAU,BRITA,1,Remise niv1,120,1
DESINSTALLATION,FONTAINE A EAU,DESINSTALLATION_FONTAINE A EAU,BRITA,1,Remise niv2,108,1
DESINSTALLATION,FONTAINE A EAU,DESINSTALLATION_FONTAINE A EAU,BRITA,1,Tarif normal,150,1
INSTALLATION,FONTAINE A EAU,INSTALLATION_FONTAINE A EAU,BRITA,0,Remise niv1,264,3
INSTALLATION,FONTAINE A EAU,INSTALLATION_FONTAINE A EAU,BRITA,0,Remise niv2,215,3
INSTALLATION,FONTAINE A EAU,INSTALLATION_FONTAINE A EAU,BRITA,0,Tarif normal,330,3
INSTALLATION,FONTAINE A EAU,INSTALLATION_FONTAINE A EAU,BRITA,1,Remise niv1,240,3
INSTALLATION,FONTAINE A EAU,INSTALLATION_FONTAINE A EAU,BRITA,1,Remise niv2,185,3
INSTALLATION,FONTAINE A EAU,INSTALLATION_FONTAINE A EAU,BRITA,1,Tarif normal,300,3
PLANPREVENTION,FONTAINE A EAU,PLANPREVENTION_FONTAINE A EAU,BRITA,0,Remise niv1,144,1
PLANPREVENTION,FONTAINE A EAU,PLANPREVENTION_FONTAINE A EAU,BRITA,0,Remise niv2,117,1
PLANPREVENTION,FONTAINE A EAU,PLANPREVENTION_FONTAINE A EAU,BRITA,0,Tarif normal,180,1
PLANPREVENTION,FONTAINE A EAU,PLANPREVENTION_FONTAINE A EAU,BRITA,1,Remise niv1,120,1
